classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
149171147,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:31:37 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:29:40.848Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:31:37.606Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":822,""clientHeight"":206,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":800.6705932617188,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""}]}]","{""30931647"":{""retired"":null,""image1"":""N1595338491_img.png"",""image2"":""N1595338491_plt.png"",""my_own_id"":""6""}}",30931647
149171289,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:32:15 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:31:39.281Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:32:14.938Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":822,""clientHeight"":206,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[]}]","{""30931648"":{""retired"":null,""image1"":""N1597806864_img.png"",""image2"":""N1597806864_plt.png"",""my_own_id"":""7""}}",30931648
149171620,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:33:42 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:32:16.063Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:33:42.416Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":822,""clientHeight"":206,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[]}]","{""30931644"":{""retired"":null,""image1"":""N1584974162_img.png"",""image2"":""N1584974162_plt.png"",""my_own_id"":""3""}}",30931644
149171786,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:34:28 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:33:43.655Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:34:28.229Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":822,""clientHeight"":206,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":574.8707275390625,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""}]}]","{""30931651"":{""retired"":null,""image1"":""N1467344745_img.png"",""image2"":""N1467344745_plt.png"",""my_own_id"":""10""}}",30931651
149171801,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:34:32 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:34:29.038Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:34:32.457Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":822,""clientHeight"":206,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[]}]","{""30931643"":{""retired"":null,""image1"":""N1560312042_img.png"",""image2"":""N1560312042_plt.png"",""my_own_id"":""2""}}",30931643
149171964,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:35:12 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:34:33.029Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:35:12.319Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":822,""clientHeight"":206,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":719.8713989257812,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""}]}]","{""30931649"":{""retired"":null,""image1"":""N1625958972_img.png"",""image2"":""N1625958972_plt.png"",""my_own_id"":""8""}}",30931649
149172037,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:35:28 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:35:13.030Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:35:28.311Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":822,""clientHeight"":206,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[]}]","{""30931645"":{""retired"":null,""image1"":""N1595337686_img.png"",""image2"":""N1595337686_plt.png"",""my_own_id"":""4""}}",30931645
149172181,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:36:01 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:35:28.882Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:36:01.258Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":822,""clientHeight"":206,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[]}]","{""30931642"":{""retired"":null,""image1"":""N1467351049_img.png"",""image2"":""N1467351049_plt.png"",""my_own_id"":""1""}}",30931642
149172255,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:36:16 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:36:02.215Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:36:15.953Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":822,""clientHeight"":206,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[]}]","{""30931650"":{""retired"":null,""image1"":""N1654249612_img.png"",""image2"":""N1654249612_plt.png"",""my_own_id"":""9""}}",30931650
149172573,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:37:33 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:36:22.276Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:37:33.511Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null,null],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":725.0151977539062,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""},{""x"":878.2882080078125,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""}]}]","{""30931646"":{""retired"":null,""image1"":""N1467345680_img.png"",""image2"":""N1467345680_plt.png"",""my_own_id"":""5""}}",30931646
